# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 118 | 18.469 us | `computable` | `generated_atan_p96` | `generated[4824] -1 335/336` |
| 119 | 18.469 us | `computable` | `generated_tan_p96` | `generated[13866] -5 1/2` |
| 120 | 18.469 us | `real` | `generated_ln_abs_plus_one_build` | `generated[3539] -1 207/316` |
| 121 | 18.428 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16417] 41/241` |
| 122 | 18.409 us | `real` | `generated_ln_abs_plus_one_build` | `generated[16544] -1 87/596` |
| 123 | 18.319 us | `real` | `generated_ln_abs_plus_one_build` | `generated[4844] 2 75/94` |
| 124 | 18.318 us | `computable` | `generated_atan_p96` | `generated[2964] -1 146/373` |
| 125 | 18.279 us | `computable` | `generated_tan_p96` | `generated[9396] -4 128/155` |
| 126 | 18.269 us | `computable` | `generated_sin_p96` | `generated[11884] 4 14/31` |
| 127 | 18.209 us | `computable` | `generated_tan_p96` | `generated[14421] 5 25/47` |
| 128 | 18.189 us | `real` | `generated_ln_abs_plus_one_build` | `generated[10454] 5 37/45` |
| 129 | 18.188 us | `computable` | `generated_sin_p96` | `generated[13219] 4 31/51` |
| 130 | 18.169 us | `computable` | `generated_cos_p96` | `generated[9950] -5 1/5` |
| 131 | 18.159 us | `computable` | `generated_atan_p96` | `generated[2739] -1 235/241` |
| 132 | 18.139 us | `computable` | `generated_sin_p96` | `generated[11359] 4 66/139` |
| 133 | 18.098 us | `real` | `generated_ln_abs_plus_one_build` | `generated[18944] 6 8/49` |
| 134 | 18.079 us | `computable` | `generated_sin_p96` | `generated[10834] 4 34/61` |
| 135 | 18.079 us | `real` | `generated_ln_abs_plus_one_build` | `generated[3209] -2 41/42` |
| 136 | 18.058 us | `computable` | `generated_tan_p96` | `generated[15306] 5 49/50` |
| 137 | 18.029 us | `computable` | `generated_atan_p96` | `generated[11124] -1 266/275` |
| 138 | 18.009 us | `real` | `generated_ln_abs_plus_one_build` | `generated[14594] 1 19/876` |
| 139 | 17.998 us | `computable` | `generated_atan_p96` | `generated[9009] 1 242/251` |
| 140 | 17.969 us | `real` | `generated_ln_abs_plus_one_build` | `generated[12314] 7 1/53` |
| 141 | 17.959 us | `real` | `generated_ln_abs_plus_one_build` | `generated[599] 2 193/278` |
| 142 | 17.879 us | `computable` | `generated_sin_p96` | `generated[8449] 4 3/10` |
| 143 | 17.849 us | `computable` | `generated_cos_p96` | `generated[7925] -4 29/39` |
| 144 | 17.839 us | `computable` | `generated_sin_p96` | `generated[15604] 4 90/143` |
| 145 | 17.769 us | `computable` | `generated_tan_p96` | `generated[1296] -3 71/91` |
| 146 | 17.729 us | `computable` | `generated_cos_p96` | `generated[11975] -5 32/71` |
| 147 | 17.709 us | `computable` | `generated_tan_p96` | `generated[15861] -3 6/7` |
| 148 | 17.699 us | `computable` | `generated_atan_p96` | `generated[9039] -1 401/421` |
| 149 | 17.658 us | `computable` | `generated_cos_p96` | `generated[16220] -4 47/75` |
| 150 | 17.639 us | `real` | `generated_ln_abs_plus_one_build` | `generated[1784] -1 67/284` |
| 151 | 17.599 us | `real` | `generated_ln_abs_plus_one_build` | `generated[29] -1 61/820` |
| 152 | 17.598 us | `computable` | `generated_tan_p96` | `generated[7401] -7 25/29` |
| 153 | 17.569 us | `computable` | `generated_atan_p96` | `generated[6294] 1 337/355` |
| 154 | 17.509 us | `computable` | `generated_atan_p96` | `generated[12234] 1 260/269` |
| 155 | 17.429 us | `computable` | `generated_atan_p96` | `generated[13254] -1 467/506` |
| 156 | 17.409 us | `computable` | `generated_atan_p96` | `generated[639] -1 159/170` |
| 157 | 17.339 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8317] 2 91/177` |
| 158 | 17.329 us | `real` | `generated_ln_abs_plus_one_build` | `generated[17669] -10 7/51` |
| 159 | 17.289 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16117] 2 11/27` |
| 160 | 17.288 us | `computable` | `generated_atan_p96` | `generated[14094] 1 5/8` |
| 161 | 17.279 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9712] 331/897` |
| 162 | 17.269 us | `computable` | `generated_atan_p96` | `generated[9519] 1 113/122` |
| 163 | 17.258 us | `computable` | `generated_atan_p96` | `generated[354] 1 46/49` |
| 164 | 17.249 us | `computable` | `generated_tan_p96` | `generated[10176] 5 5/43` |
| 165 | 17.238 us | `computable` | `generated_atan_p96` | `generated[17424] -1 197/214` |
| 166 | 17.229 us | `computable` | `generated_tan_p96` | `generated[5151] -5 33/151` |
| 167 | 17.199 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16882] 3/481` |
| 168 | 17.199 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9052] 127/685` |
